The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", pls_name "plant lifespan", pls_category1 "PLS 1", pls_category2 "PLS 2", ref_refname "reference", pls_genname "gen. plant life span", or_origrefname "original reference" FROM (SELECT case pls_category2id when 10 then 'Annuals' when 11 then 'Summer annuals' when 12 then 'Winter annuals' when 20 then 'Strict monocarpic bi-annuals and poly annuals' when 30 then 'Perennials' when 31 then 'Poly-annuals < 5 years (short-lived perennials)' when 32 then 'Poly-annuals 5-50 years (medium-lived perennials)' when 33 then 'Poly-annuals > 50 years (long-lived perennials)' else null end AS pls_category2, pls_category1, pls_name, sbs_sbsnumber, sbs_sbsname, ref_refname, pls_genname, or_origrefname FROM (SELECT case pls_category1id when 10 then 'Annuals' when 11 then 'Summer annuals' when 12 then 'Winter annuals' when 20 then 'Strict monocarpic bi-annuals and poly annuals' when 30 then 'Perennials' when 31 then 'Poly-annuals < 5 years (short-lived perennials)' when 32 then 'Poly-annuals 5-50 years (medium-lived perennials)' when 33 then 'Poly-annuals > 50 years (long-lived perennials)' else null end AS pls_category1, pls_name, sbs_sbsnumber, sbs_sbsname, pls_category2id, ref_refname, pls_genname, or_origrefname FROM (SELECT r_pls.pls_name, sbs.sbs_sbsnumber, sbs.sbs_sbsname, category1of20(top20of20categories(r_pls.pls_categoryid)) AS pls_category1id, category2of20(top20of20categories(r_pls.pls_categoryid)) AS pls_category2id, r_pls.ref_refname, r_pls.pls_genname, r_pls.or_origrefname FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT pls_orf.pls_sbsnumber, pls_orf.pls_name, pls_orf.pls_categoryid, r.ref_refname, pls_orf.pls_genname, pls_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT pls.pls_sbsnumber, pls.pls_name, pls.pls_categoryid, pls.pls_referenceid, pls.pls_genname, orf.or_origrefname FROM (SELECT sbsnumber AS pls_sbsnumber, plantlifespanname AS pls_name, plantlifespantypeid AS pls_categoryid, referenceid AS pls_referenceid, genplantlifespanname AS pls_genname, origreferenceid AS pls_origreferenceid FROM (SELECT sbsnumber, taxonid, referenceid, origreferenceid, batchid, p_comment, plantlifespantypeid, genplantlifespantypeid, plantlifespanname, genplantlifespanname, plantlifespanid
FROM
	(SELECT plantlifespanid, taxonid, referenceid, origreferenceid, batchid, p_comment, a.plantlifespantypeid, a.plantlifespantypename AS plantlifespanname, b.plantlifespantypename AS genplantlifespanname, b.plantlifespantypeid AS genplantlifespantypeid
	FROM
		(SELECT * FROM PLANTLIFESPAN NATURAL JOIN PLANTLIFESPANTYPE_LV) a
		JOIN
		PLANTLIFESPANTYPE_LV b
		ON a.plantlifespantypeid - MOD(a.plantlifespantypeid,10) = b.plantlifespantypeid
	)
	NATURAL JOIN
	TAXONTOSBSASSIGNMENT)) pls FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON pls.pls_origreferenceid = orf.or_origrefid) pls_orf ON r.ref_referenceid = pls_orf.pls_referenceid) r_pls ON sbs.sbs_sbsnumber = r_pls.pls_sbsnumber GROUP BY pls_name, sbs_sbsnumber, sbs_sbsname, ref_refname, pls_genname, or_origrefname)))
on Mon Oct 27 17:56:48 CET 2008 .

SBS name;SBS number;plant lifespan;PLS 1;PLS 2;reference;gen. plant life span;original reference
Anthemis cotula;2778;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Anthemis cotula;2778;annuals;Annuals;;BIOPOP April 2005;annuals;Mulligan, G. A. (1973): Color, brightness, and other floral characteristics attracting insects to the blossoms of some Canadian weeds. [51]
Anthemis arvensis;3024;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Crepis capillaris;3071;annuals;Annuals;;BIOPOP April 2005;annuals;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Crepis tectorum;3084;annuals;Annuals;;BIOPOP April 2005;annuals;Najda, H. G.(1982): The biology of Canadian weeds. 54. Crepis tectorum L.
Centaurea cyanus;3132;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Cnicus benedictus;3260;annuals;Annuals;;BIOPOP April 2005;annuals;Liebenow, H. (1981): Giftpflanzen
Carduus acanthoides;3326;annuals;Annuals;;BIOPOP April 2005;annuals;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Carduus nutans;3493;annuals;Annuals;;BIOPOP April 2005;annuals;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Arnoseris minima;3666;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Filaginella uliginosa;3719;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Chrysanthemum segetum;3728;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Bidens tripartita;3990;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Anthemis austriaca;4304;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Cotula coronopifolia;5009;annuals;Annuals;;BIOPOP April 2005;annuals;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Conyza canadensis;5194;annuals;Annuals;;BIOPOP April 2005;annuals;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Conyza canadensis;5194;annuals;Annuals;;BIOPOP April 2005;annuals;Mulligan, G. A. (1970): Reproductive systems and colonization in Canadian weeds. [48(5)]
Conyza canadensis;5194;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Conyza canadensis;5194;annuals;Annuals;;BIOPOP April 2005;annuals;Mulligan, G. A. (1973): Color, brightness, and other floral characteristics attracting insects to the blossoms of some Canadian weeds. [51]
Filago vulgaris;5888;annuals;Annuals;;BIOPOP April 2005;annuals;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Chamomilla suaveolens;5904;annuals;Annuals;;BIOPOP April 2005;annuals;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
